case_id,categoria,pregunta,causa_raiz,evidencia,recomendacion,relevant_chunk_ids,retrieved_chunk_ids,recall_at_3,recall_at_5,precision_at_3,precision_at_5
BE-ES-001-Q02,Backend,¿Qué representa la variable app en el ejemplo inicial?,RANKING_SEMANTICO,La expresión 'variable app' tiene poca señal discriminante; el chunk exacto no entra en Top 5.,Probar retrieval híbrido y mayor peso a tokens técnicos/código.,['BE-ES-001_CH_011'],"['BE-ES-002_CH_014', 'FE-ES-002_CH_005', 'BE-ES-001_CH_005', 'BE-ES-001_CH_019', 'FE-ES-002_CH_004']",0.0,0.0,0.0,0.0
BE-ES-002-Q04,Backend,¿Qué archivo contiene los ajustes o configuración del proyecto Django?,ENTIDAD_LEXICAL,La respuesta depende del token exacto settings.py.,Combinar similitud vectorial con búsqueda lexical/BM25 para nombres de archivo y comandos.,['BE-ES-002_CH_008'],"['BE-ES-002_CH_004', 'BE-ES-002_CH_002', 'BE-ES-002_CH_014', 'BE-ES-002_CH_003', 'BE-ES-002_CH_012']",0.0,0.0,0.0,0.0
CLD-ES-002-Q02,Cloud / DevOps,¿Qué conocimientos previos se piden?,AMBIGUEDAD_CONTEXTO,La pregunta 'qué conocimientos previos' es transversal y recupera prerequisitos de otros dominios.,Añadir contexto de la ruta Cloud o prefiltrar por document_id/categoría.,['CLD-ES-002_CH_003'],"['FE-ES-002_CH_002', 'AI-ES-002_CH_002', 'DS-ES-002_CH_001', 'FE-ES-002_CH_007', 'AI-ES-001_CH_001']",0.0,0.0,0.0,0.0
CLD-ES-002-Q03,Cloud / DevOps,¿Qué temas cubre el módulo 'Descripción de la informática en la nube'?,COMPETENCIA_INTRADOCUMENTO,"Aparecen otros chunks del mismo documento, pero no el que contiene la descripción exacta del módulo.",Reranking con títulos/secciones y revisar los límites de chunking en bloques de módulos.,['CLD-ES-002_CH_003'],"['CLD-ES-002_CH_004', 'CLD-ES-002_CH_001', 'CLD-ES-002_CH_002', 'CLD-ES-001_CH_013', 'DS-ES-002_CH_001']",0.0,0.0,0.0,0.0
DS-ES-001-Q04,Data Science,¿Qué ejercicio práctico aparece en el módulo?,AMBIGUEDAD_CONTEXTO,La pregunta 'qué ejercicio práctico' es muy genérica sin identificar el módulo.,Agregar contexto documental o prefiltrar por document_id.,['DS-ES-001_CH_001'],"['DS-ES-002_CH_002', 'DS-ES-001_CH_002', 'DS-ES-002_CH_001', 'FE-ES-002_CH_004', 'FE-ES-002_CH_002']",0.0,0.0,0.0,0.0
DS-ES-002-Q05,Data Science,¿Qué requisito previo se indica?,AMBIGUEDAD_CONTEXTO,La consulta sobre requisito previo compite con prerequisitos de otras categorías.,Prefiltrar por documento/categoría o contextualizar la consulta.,['DS-ES-002_CH_001'],"['FE-ES-002_CH_002', 'DS-ES-001_CH_002', 'CLD-ES-002_CH_003', 'DS-ES-002_CH_002', 'AI-ES-002_CH_002']",0.0,0.0,0.0,0.0
FE-ES-001-Q03,Frontend,¿Qué aprende el lector sobre los elementos HTML?,COMPETENCIA_INTRADOCUMENTO,Numerosos chunks del mismo documento hablan de elementos HTML y desplazan el chunk introductorio.,Aplicar reranking y conservar título/sección dentro de la representación del chunk.,['FE-ES-001_CH_001'],"['FE-ES-001_CH_028', 'FE-ES-001_CH_049', 'FE-ES-001_CH_048', 'FE-ES-001_CH_002', 'FE-ES-001_CH_029']",0.0,0.0,0.0,0.0
FE-ES-001-Q05,Frontend,¿Qué puede hacer una etiqueta HTML con el contenido?,RANKING_SEMANTICO,Muchos chunks HTML contienen términos cercanos a etiquetas/elementos y compiten con la evidencia exacta.,Probar híbrido BM25 + vectorial y reranking.,['FE-ES-001_CH_002'],"['FE-ES-001_CH_028', 'FE-ES-001_CH_013', 'FE-ES-001_CH_032', 'FE-ES-001_CH_005', 'FE-ES-001_CH_029']",0.0,0.0,0.0,0.0
FE-ES-002-Q03,Frontend,¿Para qué sirven los bucles en JavaScript?,RANKING_SEMANTICO,"Se recupera contenido de JavaScript relacionado, pero no el chunk que explica explícitamente que los bucles repiten tareas.",Favorecer coincidencias lexicales 'bucles' + 'repetir' mediante híbrido o reranker.,['FE-ES-002_CH_003'],"['FE-ES-002_CH_007', 'FE-ES-001_CH_047', 'FE-ES-001_CH_043', 'FE-ES-002_CH_004', 'FE-ES-001_CH_022']",0.0,0.0,0.0,0.0
FE-ES-002-Q05,Frontend,¿El módulo se limita únicamente a sintaxis básica?,PREGUNTA_INFERENCIAL,La pregunta negativa requiere inferir que el módulo cubre más que sintaxis básica.,Revisar query de evaluación y probar reranking con contexto del título del módulo.,['FE-ES-002_CH_001'],"['DS-ES-001_CH_002', 'DS-ES-002_CH_002', 'FE-ES-002_CH_004', 'DS-ES-002_CH_001', 'AI-ES-001_CH_002']",0.0,0.0,0.0,0.0
AI-ES-001-Q05,IA,¿Qué conocimiento previo puede ser útil antes de iniciar el módulo?,AMBIGUEDAD_CONTEXTO,La pregunta sobre conocimiento previo es genérica y compite con prerequisitos de otros documentos.,Añadir contexto de documento/categoría o aplicar prefiltrado antes del ranking.,['AI-ES-001_CH_001'],"['FE-ES-002_CH_002', 'AI-ES-002_CH_002', 'DS-ES-002_CH_002', 'DS-ES-002_CH_001', 'DS-ES-001_CH_002']",0.0,0.0,0.0,0.0
