case_id,document_id,categoria,pregunta,respuesta_esperada,seccion_evidencia,palabras_clave_evidencia,dificultad,estado_prueba,retrieved_chunk_ids,relevant_retrieved,notas,relevant_chunk_ids,num_relevant_chunks,ground_truth_status
AI-ES-001-Q01,AI-ES-001,IA,¿Qué pretende introducir este módulo sobre inteligencia artificial?,Introduce los tipos de soluciones que puede hacer posible la IA y las prácticas de inteligencia artificial responsable.,Objetivos de aprendizaje,soluciones de IA; inteligencia artificial responsable,Básica,Pendiente de ejecutar,,,,AI-ES-001_CH_001,1,Validado
AI-ES-001-Q02,AI-ES-001,IA,¿Es obligatorio conocer aprendizaje automático antes de iniciar el módulo?,"No. El conocimiento conceptual de aprendizaje automático puede ser útil, pero no es obligatorio.",Requisitos previos,no obligatorio; aprendizaje automático; útil,Básica,Pendiente de ejecutar,,,,AI-ES-001_CH_001,1,Validado
AI-ES-001-Q03,AI-ES-001,IA,Menciona dos cargas de trabajo de IA tratadas en el módulo.,"Por ejemplo: texto y lenguaje natural, discurso, visión por ordenador o extracción de información.",Unidades del módulo,texto; lenguaje natural; discurso; visión por ordenador; extracción de información,Básica,Pendiente de ejecutar,,,,AI-ES-001_CH_002,1,Validado
AI-ES-001-Q04,AI-ES-001,IA,¿Qué tema del módulo aborda el uso ético o seguro de la IA?,La inteligencia artificial responsable.,Unidades del módulo,inteligencia artificial responsable,Básica,Pendiente de ejecutar,,,,AI-ES-001_CH_002,1,Validado
AI-ES-001-Q05,AI-ES-001,IA,¿Qué conocimiento previo puede ser útil antes de iniciar el módulo?,"Un conocimiento conceptual del aprendizaje automático puede ser útil, aunque no es obligatorio.",Requisitos previos,aprendizaje automático; conocimiento conceptual; útil; no obligatorio,Básica,Pendiente de ejecutar,,,Pregunta reemplazada porque la pregunta original sobre nivel principiante no estaba respaldada por los chunks procesados.,AI-ES-001_CH_001,1,Validado
AI-ES-002-Q01,AI-ES-002,IA,¿Qué conceptos principales de IA generativa aborda el módulo?,"IA generativa, modelos de lenguaje grandes (LLM), solicitudes o prompts y agentes de IA.",Descripción / Objetivos,IA generativa; LLM; solicitudes; agentes,Básica,Pendiente de ejecutar,,,,AI-ES-002_CH_001,1,Validado
AI-ES-002-Q02,AI-ES-002,IA,¿Qué debe poder explicar el estudiante sobre los LLM al finalizar?,Debe poder explicar cómo funcionan los modelos de lenguaje grandes.,Objetivos de aprendizaje,explicar; funcionamiento; LLM,Básica,Pendiente de ejecutar,,,,AI-ES-002_CH_001,1,Validado
AI-ES-002-Q03,AI-ES-002,IA,¿Qué habilidad relacionada con prompts se espera desarrollar?,Considerar cómo crear solicitudes eficaces para los LLM.,Objetivos de aprendizaje,solicitudes eficaces; prompts; LLM,Básica,Pendiente de ejecutar,,,,AI-ES-002_CH_001,1,Validado
AI-ES-002-Q04,AI-ES-002,IA,¿Qué conocimientos previos recomienda el módulo?,Familiaridad con conceptos y terminología de IA y principios básicos de aprendizaje automático.,Requisitos previos,terminología de IA; aprendizaje automático,Básica,Pendiente de ejecutar,,,,AI-ES-002_CH_002,1,Validado
AI-ES-002-Q05,AI-ES-002,IA,¿El módulo incluye agentes de IA?,Sí. Incluye conceptos básicos de agentes y soluciones de inteligencia artificial agéntica.,Objetivos / Unidades,agentes de IA; soluciones agénticas,Básica,Pendiente de ejecutar,,,,AI-ES-002_CH_001;AI-ES-002_CH_002,2,Validado
BE-ES-001-Q01,BE-ES-001,Backend,¿Qué clase se importa para crear una aplicación FastAPI?,"La clase FastAPI, importada desde el paquete fastapi.",Paso 1: importa FastAPI,from fastapi import FastAPI,Básica,Pendiente de ejecutar,,,,BE-ES-001_CH_010,1,Validado
BE-ES-001-Q02,BE-ES-001,Backend,¿Qué representa la variable app en el ejemplo inicial?,Una instancia de la clase FastAPI y el punto principal de interacción para crear la API.,Paso 2: crea una instancia,app = FastAPI(); instancia,Básica,Pendiente de ejecutar,,,,BE-ES-001_CH_011,1,Validado
BE-ES-001-Q03,BE-ES-001,Backend,¿Qué indica el decorador @app.get('/')?,Que la función inferior manejará solicitudes GET dirigidas al path raíz '/'.,Paso 3: crea una path operation,@app.get; GET; path /,Básica,Pendiente de ejecutar,,,,BE-ES-001_CH_013,1,Validado
BE-ES-001-Q04,BE-ES-001,Backend,¿Dónde se encuentra la documentación interactiva automática basada en Swagger UI?,"En /docs, por ejemplo http://127.0.0.1:8000/docs.",Documentación interactiva de la API,/docs; Swagger UI,Básica,Pendiente de ejecutar,,,,BE-ES-001_CH_004,1,Validado
BE-ES-001-Q05,BE-ES-001,Backend,¿Qué archivo expone FastAPI automáticamente con el esquema OpenAPI en JSON?,El endpoint /openapi.json.,Revisa el openapi.json,/openapi.json; OpenAPI,Básica,Pendiente de ejecutar,,,,BE-ES-001_CH_006,1,Validado
BE-ES-002-Q01,BE-ES-002,Backend,¿Qué aplicación se construye en el tutorial de Django?,Una aplicación básica de encuestas.,Introducción,aplicación de encuestas; sondeos,Básica,Pendiente de ejecutar,,,,BE-ES-002_CH_001,1,Validado
BE-ES-002-Q02,BE-ES-002,Backend,¿Qué dos partes tiene la aplicación de encuestas?,"Un sitio público para ver y votar sondeos y un sitio administrativo para añadir, modificar y borrar sondeos.",Introducción,sitio público; votar; sitio administrativo,Básica,Pendiente de ejecutar,,,,BE-ES-002_CH_001,1,Validado
BE-ES-002-Q03,BE-ES-002,Backend,¿Qué comando crea el proyecto mysite dentro de djangotutorial?,django-admin startproject mysite djangotutorial,Creando un proyecto,django-admin startproject mysite djangotutorial,Básica,Pendiente de ejecutar,,,,BE-ES-002_CH_005,1,Validado
BE-ES-002-Q04,BE-ES-002,Backend,¿Qué archivo contiene los ajustes o configuración del proyecto Django?,mysite/settings.py.,Archivos creados por startproject,settings.py; configuración,Básica,Pendiente de ejecutar,,,,BE-ES-002_CH_008,1,Validado
BE-ES-002-Q05,BE-ES-002,Backend,¿Cuál es la diferencia entre un proyecto y una app en Django?,Una app realiza una función concreta; un proyecto agrupa configuración y una o varias apps para un sitio.,Proyectos vs. aplicaciones,app; proyecto; configuración; múltiples apps,Básica,Pendiente de ejecutar,,,,BE-ES-002_CH_014,1,Validado
DS-ES-001-Q01,DS-ES-001,Data Science,¿Qué habilidad relacionada con variables enseña el módulo?,Almacenar y actualizar valores mediante variables.,Objetivos de aprendizaje,variables; almacenar; actualizar valores,Básica,Pendiente de ejecutar,,,,DS-ES-001_CH_001,1,Validado
DS-ES-001-Q02,DS-ES-001,Data Science,¿Qué tipo de operaciones numéricas se practican?,Operaciones aritméticas con números.,Objetivos de aprendizaje,operaciones aritméticas; números,Básica,Pendiente de ejecutar,,,,DS-ES-001_CH_001,1,Validado
DS-ES-001-Q03,DS-ES-001,Data Science,¿Qué habilidad de conversión de datos se enseña?,Convertir entre tipos de datos mediante funciones integradas.,Objetivos de aprendizaje,convertir tipos de datos; funciones integradas,Básica,Pendiente de ejecutar,,,,DS-ES-001_CH_001,1,Validado
DS-ES-001-Q04,DS-ES-001,Data Science,¿Qué ejercicio práctico aparece en el módulo?,El cálculo del GPA de un alumno.,Unidades del módulo,GPA; alumno,Básica,Pendiente de ejecutar,,,,DS-ES-001_CH_001,1,Validado
DS-ES-001-Q05,DS-ES-001,Data Science,¿Qué aprenderá a almacenar y manipular el estudiante en este módulo?,Datos en Python.,Introducción,almacenar; manipular; datos; Python,Básica,Pendiente de ejecutar,,,Pregunta reemplazada porque la pregunta original sobre nivel principiante no estaba respaldada por los chunks procesados.,DS-ES-001_CH_001,1,Validado
DS-ES-002-Q01,DS-ES-002,Data Science,¿Qué transformación general de los datos motiva el módulo?,Convertir datos sin procesar en información útil.,Descripción,datos sin procesar; información útil,Básica,Pendiente de ejecutar,,,,DS-ES-002_CH_001,1,Validado
DS-ES-002-Q02,DS-ES-002,Data Science,¿Qué es uno de los conceptos fundamentales tratados?,La agregación de datos.,Objetivos de aprendizaje,agregación de datos,Básica,Pendiente de ejecutar,,,,DS-ES-002_CH_001,1,Validado
DS-ES-002-Q03,DS-ES-002,Data Science,¿Qué otro concepto de organización de datos se estudia?,La agrupación de datos.,Objetivos de aprendizaje,agrupación de datos,Básica,Pendiente de ejecutar,,,,DS-ES-002_CH_001,1,Validado
DS-ES-002-Q04,DS-ES-002,Data Science,¿Qué aspecto visual del análisis se incluye?,Las visualizaciones de datos.,Objetivos de aprendizaje,visualizaciones de datos,Básica,Pendiente de ejecutar,,,,DS-ES-002_CH_001,1,Validado
DS-ES-002-Q05,DS-ES-002,Data Science,¿Qué requisito previo se indica?,Familiaridad con terminología y conceptos básicos de informática.,Requisitos previos,terminología; informática; conceptos básicos,Básica,Pendiente de ejecutar,,,,DS-ES-002_CH_001,1,Validado
FE-ES-001-Q01,FE-ES-001,Frontend,¿Qué es HTML según el documento?,Un lenguaje de marcado que indica a los navegadores cómo estructurar las páginas web.,¿Qué es HTML?,lenguaje de marcado; estructurar páginas web,Básica,Pendiente de ejecutar,,,,FE-ES-001_CH_002,1,Validado
FE-ES-001-Q02,FE-ES-001,Frontend,¿Qué conceptos básicos de HTML cubre el artículo?,"Elementos, atributos y otros términos fundamentales.",Introducción,elementos; atributos; términos,Básica,Pendiente de ejecutar,,,,FE-ES-001_CH_001,1,Validado
FE-ES-001-Q03,FE-ES-001,Frontend,¿Qué aprende el lector sobre los elementos HTML?,Cómo se estructuran los elementos HTML.,Objetivo / Introducción,estructuran los elementos,Básica,Pendiente de ejecutar,,,,FE-ES-001_CH_001,1,Validado
FE-ES-001-Q04,FE-ES-001,Frontend,¿Qué aprende sobre una página HTML típica?,Cómo se estructura una página HTML típica.,Introducción,página HTML típica; estructura,Básica,Pendiente de ejecutar,,,,FE-ES-001_CH_001,1,Validado
FE-ES-001-Q05,FE-ES-001,Frontend,¿Qué puede hacer una etiqueta HTML con el contenido?,Puede marcar diferentes partes del contenido para que aparezcan o actúen de cierta manera.,¿Qué es HTML?,etiquetas; contenido; marcar; aparecer; actuar,Básica,Pendiente de ejecutar,,,Pregunta reemplazada porque la pregunta original sobre conocimientos previos no estaba respaldada por el corpus procesado.,FE-ES-001_CH_002,1,Validado
FE-ES-002-Q01,FE-ES-002,Frontend,¿Qué tipos de estructuras de JavaScript se cubren explícitamente?,"Enunciados condicionales, bucles, funciones y eventos.",Descripción,condicionales; bucles; funciones; eventos,Básica,Pendiente de ejecutar,,,,FE-ES-002_CH_001,1,Validado
